Parent Club,Chapter Name,Location,Website URL,Facebook Page Link,Instagram Handle,Contact Info,Year Founded
American Motorcyclist Association,National Headquarters,"Pickerington, Ohio",https://americanmotorcyclist.com,https://facebook.com/americanmotorcyclist,@americanmotorcyclist,614-856-1900,1924.0
BMW Motorcycle Owners of America,Golden Gate BMW Riders,"San Francisco, California",,,,,
BMW Motorcycle Owners of America,Mile High BMW Club,"Denver, Colorado",,,,,
BMW Motorcycle Owners of America,National BMW MOA,"Chesterfield, Missouri",https://bmwmoa.org,https://facebook.com/bmwmoa,@bmwmoa,636-394-7277,1972.0
BMW Motorcycle Owners of America,Yankee Beemers,"Boston, Massachusetts",,,,,
Bandidos MC,Albuquerque,"Albuquerque, New Mexico",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Austin,"Austin, Texas",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Billings,"Billings, Montana",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Birmingham,"Birmingham, Alabama",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Boise,"Boise, Idaho",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Cheyenne,"Cheyenne, Wyoming",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Corpus Christi,"Corpus Christi, Texas",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Dallas,"Dallas, Texas",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Denver,"Denver, Colorado",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,El Paso,"El Paso, Texas",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Fort Worth,"Fort Worth, Texas",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Houston,"Houston, Texas",https://www.bandidosmcunitedstates.com,,,Mother Chapter,1966.0
Bandidos MC,Jackson,"Jackson, Mississippi",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Kansas City,"Kansas City, Missouri",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Las Vegas,"Las Vegas, Nevada",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Little Rock,"Little Rock, Arkansas",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,New Orleans,"New Orleans, Louisiana",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Oklahoma City,"Oklahoma City, Oklahoma",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Rapid City,"Rapid City, South Dakota",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Salt Lake City,"Salt Lake City, Utah",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,San Antonio,"San Antonio, Texas",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Seattle,"Seattle, Washington",https://www.bandidosmcunitedstates.com,,,,
Bandidos MC,Southwest Houston,"Southwest Houston, Texas",https://www.bandidosmcunitedstates.com,,,,1967.0
Boozefighters MC,Southern California,California,,,,Historical Club,1946.0
Christian Motorcyclists Association,California CMA,California,,,,125000+ members,
Christian Motorcyclists Association,Florida CMA,Florida,,,,,
Christian Motorcyclists Association,National CMA,"Hatfield, Arkansas",https://cmausa.org,https://facebook.com/ChristianMotorcyclistsAssociation,@cmausa,870-389-6196,1975.0
Christian Motorcyclists Association,New York CMA,New York,,,,,
Christian Motorcyclists Association,Ohio CMA,Ohio,,,,,
Christian Motorcyclists Association,Texas CMA,Texas,,,,,
Combat Veterans Motorcycle Association,CVMA 1-1,New Hampshire,,,,,
Combat Veterans Motorcycle Association,CVMA 11-11,Delaware,,,,,
Combat Veterans Motorcycle Association,CVMA 12-12,Maryland,,,,,
Combat Veterans Motorcycle Association,CVMA 13-13,Virginia,,,,,
Combat Veterans Motorcycle Association,CVMA 14-14,West Virginia,,,,,
Combat Veterans Motorcycle Association,CVMA 15-15,Kentucky,,,,,
Combat Veterans Motorcycle Association,CVMA 16-16,Tennessee,,,,,
Combat Veterans Motorcycle Association,CVMA 17-17,North Carolina,,,,,
Combat Veterans Motorcycle Association,CVMA 18-18,South Carolina,,,,,
Combat Veterans Motorcycle Association,CVMA 19-19,Georgia,,,,,
Combat Veterans Motorcycle Association,CVMA 2-2,Massachusetts,,,,,
Combat Veterans Motorcycle Association,CVMA 20-20,Florida,,,,,
Combat Veterans Motorcycle Association,CVMA 21-21,Alabama,,,,,
Combat Veterans Motorcycle Association,CVMA 22-22,Mississippi,,,,,
Combat Veterans Motorcycle Association,CVMA 23-23,Louisiana,,,,,
Combat Veterans Motorcycle Association,CVMA 24-24,Arkansas,,,,,
Combat Veterans Motorcycle Association,CVMA 25-25,Texas,,,,,
Combat Veterans Motorcycle Association,CVMA 26-26,Oklahoma,,,,,
Combat Veterans Motorcycle Association,CVMA 27-27,New Mexico,,,,,
Combat Veterans Motorcycle Association,CVMA 28-28,Colorado,,,,,
Combat Veterans Motorcycle Association,CVMA 29-29,Wyoming,,,,,
Combat Veterans Motorcycle Association,CVMA 3-3,Connecticut,,,,,
Combat Veterans Motorcycle Association,CVMA 30-30,Montana,,,,,
Combat Veterans Motorcycle Association,CVMA 31-31,North Dakota,,,,,
Combat Veterans Motorcycle Association,CVMA 32-32,South Dakota,,,,,
Combat Veterans Motorcycle Association,CVMA 33-33,Nebraska,,,,,
Combat Veterans Motorcycle Association,CVMA 34-34,Kansas,,,,,
Combat Veterans Motorcycle Association,CVMA 35-35,Iowa,,,,,
Combat Veterans Motorcycle Association,CVMA 36-36,Missouri,,,,,
Combat Veterans Motorcycle Association,CVMA 37-37,Illinois,,,,,
Combat Veterans Motorcycle Association,CVMA 38-38,Wisconsin,,,,,
Combat Veterans Motorcycle Association,CVMA 39-39,Minnesota,,,,,
Combat Veterans Motorcycle Association,CVMA 4-4,Maine,,,,,
Combat Veterans Motorcycle Association,CVMA 40-40,Michigan,,,,,
Combat Veterans Motorcycle Association,CVMA 41-41,Indiana,,,,,
Combat Veterans Motorcycle Association,CVMA 42-42,Ohio,,,,,
Combat Veterans Motorcycle Association,CVMA 43-43,Utah,,,,,
Combat Veterans Motorcycle Association,CVMA 44-44,Nevada,,,,,
Combat Veterans Motorcycle Association,CVMA 45-45,Idaho,,,,,
Combat Veterans Motorcycle Association,CVMA 46-46,Arizona,,,,,
Combat Veterans Motorcycle Association,CVMA 47-47,Washington,,,,,
Combat Veterans Motorcycle Association,CVMA 48-48,Oregon,,,,,
Combat Veterans Motorcycle Association,CVMA 49-49,California,,,,,
Combat Veterans Motorcycle Association,CVMA 5-5,Vermont,,,,,
Combat Veterans Motorcycle Association,CVMA 50-50,Alaska,,,,,
Combat Veterans Motorcycle Association,CVMA 51-51,Hawaii,,,,,
Combat Veterans Motorcycle Association,CVMA 6-6,Rhode Island,,,,,
Combat Veterans Motorcycle Association,CVMA 7-7,New York,,,,,
Combat Veterans Motorcycle Association,CVMA 8-8,New Jersey,,,,,
Combat Veterans Motorcycle Association,CVMA 9-9,Pennsylvania,,,,,
Combat Veterans Motorcycle Association,National CVMA,United States,https://combatvet.org,https://facebook.com/combatvet,@cvmausa,,2001.0
Gold Wing Road Riders Association,National GWRRA,United States,https://gwrra.org,https://facebook.com/goldwingroadriders,@gwrra,,1977.0
Harley Owners Group,Atlanta HOG,"Atlanta, Georgia",,,,,
Harley Owners Group,Chicago HOG,"Chicago, Illinois",,,,,
Harley Owners Group,Dallas HOG,"Dallas, Texas",,,,,
Harley Owners Group,Denver HOG,"Denver, Colorado",,,,,
Harley Owners Group,Los Angeles HOG,"Los Angeles, California",,,,,
Harley Owners Group,Miami HOG,"Miami, Florida",,,,,
Harley Owners Group,National HOG,"Milwaukee, Wisconsin",https://www.harley-davidson.com/us/en/hog.html,https://facebook.com/harleyownersgroup,@harleyownersgroup,414-343-4056,1983.0
Harley Owners Group,New York HOG,"New York, New York",,,,,
Harley Owners Group,Phoenix HOG,"Phoenix, Arizona",,,,,
Harley Owners Group,Seattle HOG,"Seattle, Washington",,,,,
Hells Angels MC,Anchorage,"Anchorage, Alaska",,,,,1982.0
Hells Angels MC,Bakersfield,"Bakersfield, California",,,,,2013.0
Hells Angels MC,Berdoo,"San Bernardino, California",,,,,1948.0
Hells Angels MC,Bridgeport,"Bridgeport, Connecticut",,,,,1975.0
Hells Angels MC,Cave Creek,"Cave Creek, Arizona",,,,,1997.0
Hells Angels MC,Dago,"San Diego, California",,,,,1966.0
Hells Angels MC,Daly City,"Daly City, California",,,,,1966.0
Hells Angels MC,Denver,"Denver, Colorado",,,,,2002.0
Hells Angels MC,Fairbanks,"Fairbanks, Alaska",,,,,1982.0
Hells Angels MC,Fresno,"Fresno, California",,,,,2000.0
Hells Angels MC,Frisco,"San Francisco, California",,,,,1954.0
Hells Angels MC,Hartford,"Hartford, Connecticut",,,,,2002.0
Hells Angels MC,Merced County,"Merced County, California",,,,,1998.0
Hells Angels MC,Mesa,"Mesa, Arizona",,,,,1997.0
Hells Angels MC,Monterey,"Monterey, California",,,,,1981.0
Hells Angels MC,Nomads Arizona,Arizona (Nomad),,,,,1997.0
Hells Angels MC,Nomads California,California (Nomad),,,,,1965.0
Hells Angels MC,Nomads Colorado,Colorado (Nomad),,,,,2010.0
Hells Angels MC,Nomads Connecticut,Connecticut (Nomad),,,,,1999.0
Hells Angels MC,North California,Northern California,,,,,2011.0
Hells Angels MC,Oakland,"Oakland, California",,,,,1957.0
Hells Angels MC,Orange County,"Orange County, California",,,,,1997.0
Hells Angels MC,Phoenix,"Phoenix, Arizona",,,,,1997.0
Hells Angels MC,RSide California,"Riverside, California",,,,,2006.0
Hells Angels MC,Richmond,"Richmond, Virginia",https://hellsangelsrichmond.com,,,,1962.0
Hells Angels MC,Rochester,"Rochester, New York",https://hells-angels-rochester.com,,,,
Hells Angels MC,Rocky Mountain,Rocky Mountain Region,,,,,2014.0
Hells Angels MC,Sacramento,"Sacramento, California",,,,,1973.0
Hells Angels MC,San Fernando Valley,"San Fernando Valley, California",,,,,1978.0
Hells Angels MC,San Jose,"San Jose, California",,,,,1969.0
Hells Angels MC,Santa Cruz,"Santa Cruz, California",,,,,2002.0
Hells Angels MC,So Cal,Southern California,,,,,2014.0
Hells Angels MC,Sonoma County,"Sonoma County, California",,,,,1972.0
Hells Angels MC,Tucson,"Tucson, Arizona",,,,,1997.0
Hells Angels MC,Vallejo,"Vallejo, California",,,,,1984.0
Hells Angels MC,Ventura,"Ventura, California",,,,,1978.0
Hells Angels MC,West Point,"West Point, New York",,,,,2012.0
Hells Angels MC,Yavapai County,"Yavapai County, Arizona",,,,,2012.0
Mongols MC,Alhambra,"Alhambra, California",https://www.mongolsmc.com,,,,
Mongols MC,Bell Gardens,"Bell Gardens, California",https://www.mongolsmc.com,,,,
Mongols MC,Berdoo,"San Bernardino, California",https://www.mongolsmc.com,,,,
Mongols MC,Boyle Heights,"Boyle Heights, California",https://www.mongolsmc.com,,,,
Mongols MC,Central,Central Arkansas,https://www.mongolsmc.com,,,,
Mongols MC,Central,Central Florida,https://www.mongolsmc.com,,,,
Mongols MC,Commerce,"Commerce, California",https://www.mongolsmc.com,,,,
Mongols MC,Covina,"Covina, California",https://www.mongolsmc.com,,,,
Mongols MC,Dago,"San Diego, California",https://www.mongolsmc.com,,,,
Mongols MC,Denver,"Denver, Colorado",https://www.mongolsmc.com,,,,
Mongols MC,East LA,"East Los Angeles, California",https://www.mongolsmc.com,,,,
Mongols MC,East Whittier,"East Whittier, California",https://www.mongolsmc.com,,,,
Mongols MC,Fullerton,"Fullerton, California",https://www.mongolsmc.com,,,,
Mongols MC,Grand Junction,"Grand Junction, Colorado",https://www.mongolsmc.com,,,,
Mongols MC,Harbor,"Harbor Area, Los Angeles, California",https://www.mongolsmc.com,,,,
Mongols MC,Helena,"Helena, Montana",https://www.mongolsmc.com,,,,
Mongols MC,High Desert,"Lancaster, California",https://www.mongolsmc.com,,,,
Mongols MC,Hollywood,"Hollywood, California",https://www.mongolsmc.com,,,,
Mongols MC,Inner City,"Denver, Colorado",https://www.mongolsmc.com,,,,
Mongols MC,La Habra,"La Habra, California",https://www.mongolsmc.com,,,,
Mongols MC,La Mirada,"La Mirada, California",https://www.mongolsmc.com,,,,
Mongols MC,Las Vegas,"Las Vegas, Nevada",https://www.mongolsmc.com,,,,
Mongols MC,Long Beach,"Long Beach, California",https://www.mongolsmc.com,,,,
Mongols MC,Los Angeles,"Los Angeles, California",https://www.mongolsmc.com,,,,
Mongols MC,Mesa,"Mesa, Arizona",https://www.mongolsmc.com,,,,
Mongols MC,Mile High,Colorado,https://www.mongolsmc.com,,,,
Mongols MC,Montebello,"Montebello, California",https://www.mongolsmc.com,,,Mother Chapter,1969.0
Mongols MC,Nomad,California (Nomad),https://www.mongolsmc.com,,,,
Mongols MC,Nor Cal,Northern California,https://www.mongolsmc.com,,,,
Mongols MC,Northside,North Florida,https://www.mongolsmc.com,,,,
Mongols MC,Old South Bay,"San Francisco, California",https://www.mongolsmc.com,,,,
Mongols MC,Orange County,"Orange County, California",https://www.mongolsmc.com,,,,
Mongols MC,Paramount,"Paramount, California",https://www.mongolsmc.com,,,,
Mongols MC,Pasadena,"Pasadena, California",https://www.mongolsmc.com,,,,
Mongols MC,Phoenix,"Phoenix, Arizona",https://www.mongolsmc.com,,,,
Mongols MC,Pico,"Pico Rivera, California",https://www.mongolsmc.com,,,,
Mongols MC,Pico Nomad,"Pico Rivera, California",https://www.mongolsmc.com,,,,
Mongols MC,Pomona,"Pomona, California",https://www.mongolsmc.com,,,,
Mongols MC,Puente,"La Puente, California",https://www.mongolsmc.com,,,,
Mongols MC,Reno,"Reno, Nevada",https://www.mongolsmc.com,,,,
Mongols MC,Riverside County,"Riverside County, California",https://www.mongolsmc.com,,,,
Mongols MC,Rosemead,"Rosemead, California",https://www.mongolsmc.com,,,,
Mongols MC,SFV,"San Fernando Valley, California",https://www.mongolsmc.com,,,,
Mongols MC,SGV,"San Gabriel Valley, California",https://www.mongolsmc.com,,,,
Mongols MC,San Jacinto,"San Jacinto, California",https://www.mongolsmc.com,,,,
Mongols MC,Santa Fe Springs,"Santa Fe Springs, California",https://www.mongolsmc.com,,,,
Mongols MC,Sereno,"El Sereno, California",https://www.mongolsmc.com,,,,
Mongols MC,Shasta County,"Shasta County, California",https://www.mongolsmc.com,,,,
Mongols MC,So Cal,Southern California,https://www.mongolsmc.com,,,,
Mongols MC,South Bay,"South Bay, California",https://www.mongolsmc.com,,,,
Mongols MC,South End,South Florida,https://www.mongolsmc.com,,,,
Mongols MC,South Gate,"South Gate, California",https://www.mongolsmc.com,,,,
Mongols MC,Southside,New York,https://www.mongolsmc.com,,,,
Mongols MC,Temple City,"Temple City, California",https://www.mongolsmc.com,,,,
Mongols MC,The Heights,"Hacienda Heights, California",https://www.mongolsmc.com,,,,
Mongols MC,The Ville,"Smartsville, California",https://www.mongolsmc.com,,,,
Mongols MC,Venice,"Venice, California",https://www.mongolsmc.com,,,,
Mongols MC,Ventura County,"Ventura County, California",https://www.mongolsmc.com,,,,
Mongols MC,West Coast Nomad,"Pasadena, California",https://www.mongolsmc.com,,,,
Mongols MC,Whittier,"Whittier, California",https://www.mongolsmc.com,,,,
Motor Maids,National Motor Maids,United States and Canada,https://motormaids.org,https://facebook.com/motormaids,@motormaids,,1940.0
Outlaws MC,Acworth,"Acworth, Georgia",http://www.outlawsmcworld.com,,,,
Outlaws MC,Alton,"Alton, Illinois",http://www.outlawsmcworld.com,,,,
Outlaws MC,Anderson,"Anderson, Indiana",http://www.outlawsmcworld.com,,,,
Outlaws MC,Anniston,"Anniston, Alabama",http://www.outlawsmcworld.com,,,,
Outlaws MC,Appleton,"Appleton, Wisconsin",http://www.outlawsmcworld.com,,,,
Outlaws MC,Ardmore,"Ardmore, Oklahoma",http://www.outlawsmcworld.com,,,,
Outlaws MC,Ashboro,"Ashboro, North Carolina",http://www.outlawsmcworld.com,,,,
Outlaws MC,Ashville,"Ashville, North Carolina",http://www.outlawsmcworld.com,,,,
Outlaws MC,Athens,"Athens, Ohio",http://www.outlawsmcworld.com,,,,
Outlaws MC,Atlanta,"Atlanta, Georgia",http://www.outlawsmcworld.com,,,,
Outlaws MC,Bay City,"Bay City, Michigan",http://www.outlawsmcworld.com,,,,
Outlaws MC,Birmingham,"Birmingham, Alabama",http://www.outlawsmcworld.com,,,,
Outlaws MC,Bluegrass,"Lexington Area, Kentucky",http://www.outlawsmcworld.com,,,,
